simulations_run,win_probability,tie_probability,loss_probability,total_wins,total_ties,total_valid,timestamp
1000,0.810000,0.004000,0.186000,810,4,1000,0.32586240768432617
2000,0.823000,0.006000,0.171000,1646,12,2000,0.66078782081604
3000,0.825333,0.005333,0.169333,2476,16,3000,1.0027143955230713
4000,0.822250,0.005000,0.172750,3289,20,4000,1.3358333110809326
5000,0.823400,0.004600,0.172000,4117,23,5000,1.6590416431427002
6000,0.820333,0.004500,0.175167,4922,27,6000,1.9814298152923584
7000,0.820143,0.004286,0.175571,5741,30,7000,2.311649799346924
8000,0.818250,0.004375,0.177375,6546,35,8000,2.6417245864868164
9000,0.819333,0.004222,0.176444,7374,38,9000,2.9714794158935547
10000,0.819700,0.004300,0.176000,8197,43,10000,3.3009347915649414
